symbol,horizon_s,model,n,auc_mean,auc_std,acc_mean
BTC/USD,1,logistic,51,0.8914285714285715,0.09107072828862414,0.85
BTC/USD,1,gbdt,51,0.6,0.2,0.65
BTC/USD,5,logistic,178,0.9583333333333334,0.05892556509887896,0.7931034482758621
BTC/USD,5,gbdt,178,0.7762412016088486,0.1860586932173324,0.5632183908045977
BTC/USD,30,logistic,676,0.8009546664693148,0.04242507586652168,0.7380952380952381
BTC/USD,30,gbdt,676,0.7274037383424861,0.09267894969791421,0.6815476190476191
ETH/USD,1,logistic,494,0.6407562577677484,0.08527395292711105,0.6
ETH/USD,1,gbdt,494,0.581648971053774,0.06543736682769953,0.575609756097561
ETH/USD,5,logistic,916,0.6194204332607283,0.05913592423750123,0.5894736842105263
ETH/USD,5,gbdt,916,0.6177416022578772,0.05661775009917213,0.5578947368421052
ETH/USD,30,logistic,1298,0.5026052831191093,0.12366213008863514,0.5740740740740741
ETH/USD,30,gbdt,1298,0.6104619741469322,0.05890004469529106,0.5990740740740741
